id;Nome;Tipo;Sigla;Setor;Status;Sond;Data Aquisição;Última Calibração;Periodicidade;Status Calibração;Fabricante;Modelo;Modelo Técnico;Número de Série;Informações Extras
112;PEN-150;Peneira;PEN;SED;ativo;1511;09-04-2025;11-08-2025;12;Calibrado;Solotest;Malha 200;Malha 200 (3201200);495396;Peneira 8x2 Número 200 - abertura 0,75mm
113;PEN-155;Peneira;PEN;EST;ativo;1593;25-02-2025;11-08-2025;12;Calibrado;Solotest;Malha 200;Malha 200;500462;Peneira granulométrica - 200
114;PEN-156;Peneira;PEN;EST;ativo;1594;25-02-2025;11-08-2025;12;Calibrado;Solotest;Malha 200;Malha 200;500429;Peneira de Análise Granulométrica
115;PEN-157;Peneira;PEN;EST;ativo;1595;25-02-2025;11-08-2025;12;Calibrado;Solotest;Malha 200;Malha 200;500430;Peneira de Análise Granulométrica - 200
116;BAL-026;Balança;BAL;EE1;ativo;1454;27-01-2025;;12;Incerto;Marte Científica;;AD5002;467181;Balança de Precisão Marte modelo AD 5002 - 5010 g Resolução 0,01gSetor entregue Especiais.
117;BAL-028;Balança;BAL;EE2;ativo;1583;26-06-2025;;12;Incerto;BEL;;S2202 (Classe II);BE25000220;Balança eletrônica digital 2200 g - Bel *Setor Especiais/Umid*
118;PEN-021;Peneira;PEN;EST;ativo;183;01-02-2013;24-04-2023;12;Incerto;Bertel;Malha 4;Abert 4,75mm Malha 4;04Y;Peneira de análise granulométrica Abert 4,75mm Malha 4
119;PEN-042;Peneira;PEN;EST;ativo;605;07-04-2022;24-04-2023;12;Não_Calibrado;Bertel;Malha 8;8x2” 2,36mm;8Y;Peneira para análise granulométrica Abertura 2,36mm - 8\\\'\\\'x2\\\'\\\' - Malha 8y
120;PEN-052;Peneira;PEN;EST;ativo;730;15-08-2022;09-12-2024;12;Calibrado;Projetest;Malha 30;0,600mm (Nº30);;
121;PEN-075;Peneira;PEN;EST;ativo;1013;21-07-2023;;12;Especial;Projetest;Malha 30;0,600mm (Nº30);Q9050B23;PENEIRA 8X2´´ NR.30 - 0,0600MM INOX
122;PEN-078;Peneira;PEN;EST;inativo;1016;21-07-2023;;12;Incerto;Projetest;Malha 30;8X2´´ NR.30 - 0,600MM INOX;N747OF23;PENEIRA 8X2´´ NR.30 - 0,600MM INOX
123;PEN-079;Peneira;PEN;EST;ativo;1017;21-07-2023;;12;Especial;Projetest;Malha 30;0,600mm (Nº30);91X6AC23;PENEIRA 8X2´´ NR.30 - 0,600MM INOX
124;PEN-084;Peneira;PEN;EST;ativo;1021;21-07-2023;;12;Incerto;Projetest;Malha 4;100 MM (Nº4);842J8C23;PENEIRA 8X2´´ NR.4- 100 MM INOX
125;PEN-087;Peneira;PEN;EST;ativo;1025;21-07-2023;09-12-2024;12;Calibrado;Projetest;Malha 100;0,150 MM (Nº100);02SOD223;PENEIRA 8X2´´ NR.100 - 0,150MM INOX
126;PEN-088;Peneira;PEN;EST;ativo;1026;21-07-2023;;12;Especial;Projetest;Malha 4;100 MM (Nº4);0G71Q323;PENEIRA 8X2´´ NR.4- 100 MM INOX
127;PEN-089;Peneira;PEN;EST;ativo;1027;21-07-2023;;12;Incerto;Projetest;Malha 3/4;19 MM (Nº3/4);0LPT8C23;PENEIRA 8X2´´ NR.3/4 - 19MM INOX
128;PEN-090;Peneira;PEN;EST;inativo;1028;21-07-2023;;12;Especial;Projetest;Malha 2;"50 MM (Nº2\\\"")";6896R023;"PENEIRA 8X2´´ NR.2\\\\\\\"" - 50MM INOX"
129;PEN-093;Peneira;PEN;EST;ativo;1031;21-07-2023;;12;Especial;Projetest;Malha 16;1,18 mm (nº16);7RD5J423;PENEIRA 8X2´´ NR.16 - 1,18 MM INOX
130;PEN-098;Peneira;PEN;EST;ativo;1036;21-07-2023;;12;Especial;Projetest;Malha 40;0,425 mm (nº40);Q6LFIC23;PENEIRA 8X2´´ NR.40 - 0,425 MM INOX
131;PEN-099;Peneira;PEN;EST;ativo;1037;21-07-2023;;12;Incerto;Projetest;Malha 40;0,425 mm (nº40);57YFKL23;PENEIRA 8X2´´ NR.40 - 0,425MM INOX
132;PEN-101;Peneira;PEN;EST;ativo;1039;21-07-2023;;12;Incerto;Projetest;Malha 1/2;"12,5 MM(Nº 1/2\\\"")";8D44PZ23;"PENEIRA´´ NR.1/2\\\"" - 12,5MM INOX"
